,0001,SIGLA,NOME,DEFERIMENTO,PRES. NACIONAL ,FUNÇÃO EM EXERCÍCIO,Nº DA LEGENDA,tseurl,telefones,fax,cep,email
24,25,PRB,PARTIDO REPUBLICANO BRASILEIRO,25.8.2005,EDUARDO BENEDITO LOPES, no exercício da presidência,10,http://www.tse.jus.br/partidos/partidos-politicos/partido-republicano-brasileiro, (61) 3366.3986, (61) 3248.2254, 71650-215,"['prb.secretario@gmail.com', 'prb.secretarianacional@gmail.com ']"
25,26,PSOL,PARTIDO SOCIALISMO E LIBERDADE,15.9.2005,RAIMUNDO LUIZ SILVA ARAÚJO,,50,http://www.tse.jus.br/partidos/partidos-politicos/partido-socialismo-e-liberdade, (61) 3963.1750, (61) 3039.6356, 70305-000,[]
26,27,PR,PARTIDO DA REPÚBLICA,19.12.2006,ANTONIO CARLOS RODRIGUES,,22,http://www.tse.jus.br/partidos/partidos-politicos/partido-da-republica, (61) 3202.9922, (61) 3202.9922, 70.316-102,['juridico22pr@gmail.com']
27,28,PSD,PARTIDO SOCIAL DEMOCRÁTICO,27.9.2011,ALFREDO COTAIT NETO, no exercício da presidência,55,http://www.tse.jus.br/partidos/partidos-politicos/partido-social-democratico, (61) 3218.0400, (61) 3218.0428, 70.070-010,['contato@psd.org.br']
28,29,PPL,PARTIDO PÁTRIA LIVRE,4.10.2011,SÉRGIO RUBENS DE ARAÚJO TORRES,,54,http://www.tse.jus.br/partidos/partidos-politicos/partido-patria-livre-ppl, (61) 3225.1396, (61) 3225.1396, 70301-000,['secretaria.ppl@ibtv.com.br']
29,30,PEN,PARTIDO ECOLÓGICO NACIONAL,19.6.2012,ADILSON BARROSO OLIVEIRA,,51,http://www.tse.jus.br/partidos/partidos-politicos/partido-ecologico-nacional, (61) 3326.4555/(61) 8126.5151, (61) 3326.4555, 70702-000,['pen@pen51.org.br']
30,31,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,24.9.2013,EURÍPEDES G.DE MACEDO JÚNIOR,,90,http://www.tse.jus.br/partidos/partidos-politicos/partido-republicano-da-ordem-social, (61) 3253 9090 e (61) 3797 0090, (61) 3253 9090,null,['pros@pros.org.br']
31,32,SD,SOLIDARIEDADE,24.9.2013,PAULO PEREIRA DA SILVA,,77,http://www.tse.jus.br/partidos/partidos-politicos/solidariedade, (61) 3548.2215, (61) 3548.2214, 70.340-000,['falecom@solidariedade.org.br']
32,33,NOVO,PARTIDO NOVO,15.9.2015,JOÃO DIONÍSIO FILGUEIRA B. AMOÊDO,,30,http://www.tse.jus.br/partidos/partidos-politicos/partido-novo, (61) 3512 7000, (61) 3512 7000, 70.340-000,[]
33,34,REDE,REDE SUSTENTABILIDADE,22.9.2015,JOSÉ GUSTAVO FÁVARO BARBOSA SILVA,,18,http://www.tse.jus.br/partidos/partidos-politicos/rede, (61) 3322 5436, (61),,[]
34,35,PMB,PARTIDO DA MULHER BRASILEIRA,29.9.2015,SUÊD HAIDAR NOGUEIRA,,35,http://www.tse.jus.br/partidos/partidos-politicos/partido-da-mulher-brasileira, (61) 3224 0035,, 70.393-902,[]
